Designator,Footprint,Quantity,Value,LCSC Part #
BAT1,batPads,1,BS-7,BS-7
"C1, C3, C4, C8",0603,4,100n,
C2,0603,1,4.7u,
C5,0603,1,10u,
D1,D_SMA,1,B130-E3,
D2,0603,1,LED,
J2,USB_C_Receptacle_GCT_USB4110,1,USB_C_Receptacle_USB2.0,
MOD1,ESP32-WROOM-32D,1,ESP32-WROOM-32,ESP32-WROOM-32
Q1,SOT-23-3,1,DMP1045u,
Q2,SOT-363_SC-70-6,1,UMH3N,
R1,0603,1,100k,
"R2, R3",0603,2,R,
R4,0603,1,10k,
R5,0603,1,470,
"R6, R7",0603,2,5.1k,
SW1,SW_SPDT_PCM12,1,SW_DIP_x01,
U1,LGA-28_5.2x3.8mm_BNO0055,1,BNO055,BNO055
U2,SOT-223,1,LD1117S33CTR,LD1117S33CTR
U3,SOT-23-5,1,MCP73831-2-OT,
U5,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
j3,connectorHaply,1,~,
